longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-120.25,39.34,9.0,2739.0,555.0,294.0,110.0,3.1842,162500.0
-118.27,33.82,28.0,1642.0,434.0,1575.0,420.0,4.1292,201900.0
-120.78,38.74,28.0,4236.0,877.0,2008.0,881.0,2.1603,111300.0
-118.28,34.18,50.0,2195.0,336.0,878.0,309.0,6.8839999999999995,365600.0
-121.47,38.55,29.0,1303.0,308.0,861.0,263.0,1.0208,55800.0
-122.48,37.71,29.0,1048.0,150.0,455.0,152.0,6.1278,417600.0
-121.85,37.26,16.0,2312.0,303.0,1158.0,295.0,7.4323,311800.0
-121.29,38.01,2.0,6403.0,1116.0,3327.0,957.0,4.4871,137900.0
-117.88,33.76,17.0,1768.0,474.0,1079.0,436.0,1.7823,205300.0
-118.21,34.22,39.0,3008.0,386.0,1240.0,370.0,9.2463,500001.0
-117.24,33.93,12.0,7105.0,1447.0,4520.0,1333.0,3.2705,113200.0
-121.49,38.58,52.0,569.0,405.0,509.0,367.0,0.9196,137500.0
-116.9,33.93,34.0,3183.0,738.0,1820.0,647.0,2.2321,71800.0
-117.33,34.13,18.0,3009.0,740.0,2317.0,659.0,1.6375,72400.0
-118.95,34.16,21.0,2953.0,419.0,1397.0,410.0,6.541,291500.0
-118.46,33.99,41.0,885.0,285.0,562.0,268.0,3.1992,303800.0
-122.37,40.6,7.0,5178.0,1336.0,2557.0,1283.0,2.4079,111400.0
-118.13,33.96,38.0,1040.0,202.0,557.0,228.0,4.0,254700.0
-118.43,34.17,37.0,1982.0,331.0,794.0,340.0,5.9275,336900.0
-118.44,34.2,28.0,1732.0,435.0,1198.0,417.0,2.9219,241300.0
-121.87,37.32,36.0,1471.0,360.0,1182.0,326.0,2.7031,175800.0
-117.32,34.41,13.0,2032.0,348.0,1038.0,344.0,4.2891,120100.0
-119.17,34.16,17.0,5276.0,1020.0,4066.0,984.0,4.5828,205400.0
-122.08,37.68,37.0,848.0,202.0,314.0,205.0,2.3958,190800.0
-122.28,38.0,26.0,2335.0,413.0,980.0,417.0,3.4471,178900.0
-119.62,36.56,30.0,1722.0,372.0,1467.0,403.0,1.8878,51600.0
-117.78,33.69,16.0,3400.0,501.0,1575.0,488.0,6.0961,295500.0
-118.43,34.15,31.0,1856.0,425.0,795.0,426.0,2.8448,360600.0
-118.36,33.89,40.0,756.0,122.0,371.0,130.0,5.0299,329200.0
-116.47,33.77,26.0,4300.0,767.0,1557.0,669.0,4.4107,122500.0
-118.11,33.95,34.0,1723.0,279.0,617.0,252.0,6.7501,400000.0
-122.71,38.45,52.0,2259.0,537.0,957.0,520.0,2.1827,188800.0
-121.32,38.64,19.0,8501.0,1558.0,3576.0,1467.0,3.6523,158500.0
-116.76,34.14,4.0,42.0,10.0,9.0,3.0,0.536,42500.0
-122.44,37.73,52.0,2838.0,567.0,1411.0,526.0,3.8304,261400.0
-121.96,37.31,26.0,4310.0,678.0,1819.0,686.0,7.0469,365500.0
-118.15,34.14,45.0,543.0,191.0,454.0,181.0,2.3,55000.0
-121.81,38.43,30.0,1674.0,297.0,756.0,292.0,3.9286,133100.0
-122.35,38.3,18.0,3735.0,557.0,1504.0,521.0,5.6304,243100.0
-117.09,32.76,43.0,3889.0,711.0,1466.0,663.0,3.5529,223000.0
-122.02,37.35,22.0,3219.0,756.0,1479.0,667.0,4.1473,354400.0
-122.33,37.98,32.0,1967.0,348.0,1144.0,364.0,4.4135,150100.0
-117.3,34.18,19.0,2526.0,381.0,1176.0,381.0,5.5136,137100.0
-118.36,33.79,34.0,5166.0,704.0,2071.0,668.0,8.3609,500001.0
-117.99,33.87,34.0,1239.0,307.0,869.0,291.0,3.59,161900.0
-117.47,33.93,33.0,919.0,208.0,724.0,235.0,3.4028,110500.0
-118.11,33.86,33.0,2389.0,410.0,1229.0,393.0,5.3889,234900.0
-117.46,34.1,7.0,1759.0,473.0,1064.0,328.0,1.9583,108800.0
-124.19,40.77,30.0,2975.0,634.0,1367.0,583.0,2.4419999999999997,69000.0
-122.08,37.87,26.0,2405.0,564.0,680.0,531.0,2.4896,73400.0
