longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-117.04,33.15,15.0,13814.0,2888.0,6583.0,2789.0,2.8247,150000.0
-122.06,37.6,22.0,3009.0,497.0,1640.0,514.0,4.625,235300.0
-118.27,33.94,37.0,973.0,221.0,842.0,178.0,1.6645,94900.0
-118.0,33.66,25.0,4041.0,903.0,1689.0,784.0,4.2289,442700.0
-119.77,36.44,26.0,1727.0,289.0,802.0,259.0,3.2083,75000.0
-122.62,38.54,24.0,2409.0,464.0,1006.0,403.0,4.5167,265200.0
-117.97,33.92,24.0,2017.0,416.0,900.0,436.0,3.0,251400.0
-121.27,37.56,31.0,1223.0,330.0,1067.0,245.0,2.8558,100000.0
-121.76,37.29,15.0,2267.0,348.0,1150.0,327.0,7.1267,277900.0
-118.98,35.39,32.0,2620.0,682.0,2375.0,684.0,1.2618,46900.0
-119.81,36.76,48.0,2059.0,388.0,834.0,405.0,2.9306,67900.0
-118.15,33.9,20.0,2850.0,737.0,1855.0,662.0,2.8089999999999997,144600.0
-117.35,33.98,31.0,4163.0,1242.0,3928.0,1076.0,1.6943,85900.0
-117.58,33.66,4.0,3305.0,644.0,1693.0,597.0,5.2497,215000.0
-121.87,37.23,19.0,7357.0,963.0,3018.0,981.0,6.9473,361400.0
-117.73,34.01,36.0,2340.0,392.0,1213.0,388.0,4.125,213000.0
-117.99,33.87,16.0,1689.0,499.0,1260.0,453.0,3.1205,174000.0
-118.52,34.02,24.0,7418.0,1755.0,2713.0,1577.0,5.0867,500001.0
-118.29,34.26,33.0,3177.0,713.0,1845.0,612.0,4.008,191100.0
-117.18,32.77,23.0,1215.0,225.0,592.0,224.0,3.4,200600.0
-118.37,34.08,52.0,2946.0,695.0,1258.0,650.0,3.9783,374100.0
-118.16,33.97,13.0,221.0,63.0,286.0,64.0,1.9063,175000.0
-118.35,34.52,14.0,3490.0,592.0,1710.0,580.0,5.9171,333300.0
-118.22,33.92,32.0,1263.0,333.0,1789.0,346.0,1.9957,89300.0
-118.31,33.94,40.0,1323.0,243.0,684.0,229.0,3.2206,145800.0
-121.7,38.54,13.0,6819.0,1158.0,2828.0,1115.0,4.6225,226500.0
-118.24,34.24,31.0,3019.0,469.0,1349.0,462.0,7.1463,394100.0
-117.06,32.61,34.0,4325.0,1015.0,2609.0,979.0,2.8489,128300.0
-118.36,34.18,31.0,1109.0,354.0,1119.0,334.0,2.3056,200000.0
-117.03,32.69,10.0,901.0,163.0,698.0,167.0,4.6648,156100.0
-120.91,38.11,9.0,3585.0,680.0,1800.0,598.0,3.636,133100.0
-118.25,34.15,20.0,3960.0,1027.0,1729.0,978.0,3.0441,193800.0
-121.09,37.67,30.0,1653.0,285.0,800.0,291.0,3.3482,220000.0
-119.56,36.1,25.0,1093.0,262.0,893.0,252.0,2.13,50800.0
-117.33,33.17,11.0,10923.0,2041.0,4773.0,1858.0,4.0791,281300.0
-118.71,34.29,21.0,2751.0,493.0,1432.0,483.0,5.2067,221200.0
-117.23,33.2,29.0,3372.0,720.0,1770.0,693.0,3.5109,166000.0
-117.16,32.58,36.0,1940.0,399.0,1076.0,382.0,3.3906,147800.0
-122.26,37.52,34.0,483.0,131.0,291.0,157.0,3.0833,256300.0
-124.08,40.99,18.0,3297.0,662.0,1554.0,578.0,2.6847,111300.0
-117.97,34.04,28.0,1686.0,417.0,1355.0,388.0,2.5192,157300.0
-117.13,33.15,15.0,2241.0,381.0,997.0,390.0,3.4833,193200.0
-117.94,33.8,28.0,2914.0,489.0,1500.0,499.0,4.9429,254800.0
-118.26,34.23,38.0,1107.0,194.0,518.0,195.0,7.5582,263700.0
-122.3,37.53,40.0,1833.0,308.0,751.0,306.0,6.0,384200.0
-118.25,34.1,42.0,598.0,147.0,312.0,144.0,2.625,164300.0
-118.41,34.02,24.0,2610.0,756.0,1322.0,692.0,3.5022,281300.0
-117.79,34.02,5.0,18690.0,2862.0,9427.0,2777.0,6.4266,315600.0
-118.36,34.07,52.0,2046.0,451.0,944.0,435.0,3.4265,456900.0
-122.06,36.96,52.0,65.0,17.0,24.0,10.0,4.5,258300.0
