longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-118.19,33.96,40.0,979.0,296.0,934.0,292.0,2.6354,151800.0
-118.22,33.94,41.0,928.0,249.0,1108.0,236.0,3.4323,144600.0
-120.1,39.19,18.0,3824.0,559.0,241.0,106.0,5.5456,360000.0
-120.56,35.13,15.0,5818.0,924.0,2324.0,845.0,4.4033,267600.0
-117.62,33.43,27.0,1835.0,413.0,1221.0,377.0,3.2232,247100.0
-117.09,32.76,31.0,1235.0,387.0,816.0,397.0,1.5517,122500.0
-120.62,35.12,22.0,1240.0,294.0,768.0,288.0,2.655,160000.0
-117.16,33.73,10.0,2381.0,454.0,1323.0,477.0,2.6322,140700.0
-121.46,38.52,34.0,1279.0,285.0,963.0,268.0,2.71,65600.0
-122.31,37.55,27.0,3931.0,933.0,1877.0,851.0,3.9722,354100.0
-118.32,34.2,29.0,2209.0,444.0,952.0,403.0,4.375,341200.0
-118.3,33.82,25.0,2659.0,765.0,2629.0,726.0,2.6368,175900.0
-118.01,33.89,36.0,1589.0,265.0,804.0,272.0,4.6354,202900.0
-118.25,33.96,43.0,2015.0,419.0,1543.0,399.0,1.8672,98100.0
-117.08,32.83,7.0,13703.0,2352.0,4446.0,1856.0,6.4335,260600.0
-119.16,34.95,14.0,4054.0,787.0,1581.0,579.0,3.0882,148200.0
-118.14,33.84,45.0,1908.0,361.0,890.0,342.0,4.575,336000.0
-122.0,37.96,28.0,4071.0,713.0,2033.0,647.0,4.5833,190700.0
-120.86,37.73,27.0,508.0,93.0,263.0,81.0,3.1136,183300.0
-117.82,33.89,24.0,2168.0,421.0,1050.0,397.0,4.6172,238300.0
-118.28,34.0,38.0,3335.0,921.0,3612.0,887.0,2.125,118800.0
-118.31,33.73,52.0,1642.0,287.0,692.0,288.0,4.1812,321500.0
-122.48,37.75,52.0,2074.0,401.0,1136.0,409.0,4.7703,331000.0
-118.32,33.82,22.0,2508.0,402.0,1254.0,395.0,7.0935,379500.0
-117.68,33.55,5.0,2262.0,427.0,1016.0,402.0,6.065,315500.0
-122.02,37.34,26.0,1992.0,328.0,980.0,342.0,6.2475,350000.0
-117.84,34.12,25.0,3465.0,566.0,1722.0,536.0,4.8304,228900.0
-118.05,34.13,23.0,3264.0,729.0,1475.0,668.0,3.735,218300.0
-118.23,33.98,35.0,1366.0,496.0,2160.0,497.0,2.2059,150000.0
-118.16,34.13,36.0,4003.0,647.0,1337.0,631.0,7.723,500001.0
-116.96,32.8,19.0,4574.0,1152.0,3045.0,1057.0,2.065,124100.0
-118.38,33.87,27.0,2287.0,491.0,1101.0,466.0,4.675,316900.0
-117.81,33.75,23.0,3498.0,636.0,1574.0,642.0,5.021,252200.0
-121.47,36.92,27.0,2049.0,417.0,1230.0,336.0,4.6477,265900.0
-118.33,34.1,43.0,2732.0,1646.0,3049.0,1429.0,1.3157,333300.0
-117.05,34.02,21.0,3098.0,646.0,1351.0,614.0,2.5980000000000003,106700.0
-122.4,37.59,22.0,2754.0,477.0,1163.0,479.0,6.2306,500001.0
-118.32,34.12,52.0,3410.0,800.0,1218.0,783.0,4.15,393500.0
-119.32,36.3,15.0,2864.0,571.0,1480.0,475.0,2.9698,93400.0
-118.28,34.17,22.0,2664.0,651.0,1553.0,629.0,3.6354,256300.0
-121.44,38.62,37.0,1607.0,385.0,972.0,354.0,1.9107,64700.0
-122.22,38.09,47.0,2161.0,440.0,966.0,360.0,2.2734,88700.0
-121.22,37.79,36.0,1052.0,221.0,712.0,212.0,1.7228,105000.0
-118.29,33.88,27.0,2082.0,612.0,2009.0,548.0,2.9063,184100.0
-118.53,34.45,26.0,828.0,149.0,508.0,158.0,5.2374,185500.0
-117.13,32.76,33.0,1591.0,461.0,794.0,425.0,2.6333,140000.0
-117.48,33.93,31.0,2191.0,459.0,1564.0,450.0,2.6776,122000.0
-117.62,34.08,30.0,1372.0,235.0,1047.0,225.0,3.1597,116300.0
-122.7,39.0,18.0,793.0,148.0,186.0,59.0,2.3125,162500.0
-118.15,34.11,52.0,1000.0,192.0,363.0,158.0,4.2981,352800.0
