longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.5,38.82,12.0,2394.0,443.0,877.0,341.0,2.5625,109200.0
-118.47,34.04,21.0,5041.0,1491.0,2719.0,1420.0,3.5335,268800.0
-118.45,34.19,37.0,1073.0,254.0,739.0,253.0,2.4667,192200.0
-121.98,37.14,37.0,74.0,19.0,63.0,17.0,9.5908,350000.0
-119.14,35.76,30.0,735.0,137.0,421.0,113.0,2.5625,156300.0
-122.03,38.01,27.0,3228.0,562.0,1666.0,588.0,4.5707,175900.0
-118.74,34.28,21.0,4056.0,637.0,1974.0,634.0,5.9024,221000.0
-118.28,34.08,52.0,2465.0,773.0,2328.0,746.0,2.6178,203100.0
-121.63,38.03,17.0,2549.0,596.0,1169.0,500.0,3.6694,209400.0
-117.66,34.05,33.0,960.0,216.0,831.0,222.0,2.5391,108600.0
-118.09,33.78,26.0,2146.0,298.0,852.0,296.0,6.6137,342700.0
-118.11,33.84,36.0,1074.0,188.0,496.0,196.0,4.625,217400.0
-117.0,33.29,17.0,2073.0,313.0,573.0,221.0,8.2531,419200.0
-122.9,39.23,39.0,1295.0,240.0,534.0,179.0,3.9519,98900.0
-118.04,33.81,22.0,4057.0,624.0,2204.0,643.0,5.8527,241000.0
-118.26,33.9,22.0,894.0,232.0,754.0,222.0,2.0096,110700.0
-121.92,37.32,28.0,2089.0,641.0,1666.0,587.0,2.3633,198400.0
-121.61,37.86,30.0,1428.0,287.0,989.0,287.0,3.6910000000000003,154400.0
-116.3,33.68,10.0,2387.0,481.0,863.0,304.0,2.8882,137500.0
-121.34,38.58,17.0,1605.0,258.0,748.0,262.0,5.0917,134100.0
-117.34,34.1,14.0,11827.0,2445.0,6640.0,2299.0,2.4878,103800.0
-122.44,37.7,6.0,3523.0,664.0,1705.0,608.0,4.9318,258100.0
-116.8,33.8,35.0,324.0,63.0,158.0,39.0,3.4167,100000.0
-117.02,32.75,33.0,3296.0,537.0,1345.0,556.0,5.2835,217100.0
-118.18,34.13,39.0,2902.0,460.0,1007.0,420.0,6.1953,363000.0
-118.52,34.28,33.0,1975.0,271.0,801.0,287.0,7.8193,379600.0
-117.63,34.07,39.0,2650.0,511.0,1537.0,495.0,3.4432,106700.0
-117.78,34.58,6.0,10263.0,1864.0,6163.0,1781.0,3.8803,120000.0
-122.41,37.74,34.0,1403.0,262.0,839.0,255.0,4.7031,255200.0
-117.5,34.04,5.0,3958.0,665.0,2456.0,666.0,5.1647,154700.0
-118.27,33.91,37.0,3018.0,547.0,1720.0,512.0,2.7269,124100.0
-117.25,32.82,23.0,6139.0,826.0,2036.0,807.0,9.5245,500001.0
-118.11,33.91,19.0,3056.0,759.0,1561.0,740.0,3.1369,196900.0
-117.41,33.93,35.0,793.0,150.0,669.0,128.0,4.0156,89300.0
-120.38,40.98,27.0,777.0,185.0,318.0,115.0,1.6833,40000.0
-122.01,37.03,21.0,5904.0,956.0,2616.0,916.0,5.9039,355300.0
-118.36,33.91,36.0,2064.0,474.0,1366.0,421.0,4.1,243100.0
-121.7,37.93,19.0,2005.0,405.0,972.0,403.0,2.2216,156700.0
-121.94,36.55,30.0,2722.0,584.0,628.0,384.0,3.4048,487100.0
-122.17,37.74,43.0,818.0,193.0,494.0,179.0,2.4776,101600.0
-117.84,33.77,26.0,3350.0,581.0,1314.0,550.0,3.5195,249100.0
-120.95,37.74,18.0,3453.0,666.0,1958.0,601.0,3.0043,156500.0
-118.35,33.91,34.0,2055.0,448.0,1134.0,408.0,3.825,235400.0
-119.17,34.27,24.0,4165.0,646.0,2194.0,658.0,6.0661,234800.0
-122.27,37.45,41.0,830.0,136.0,353.0,153.0,6.3824,500001.0
-117.03,34.87,7.0,2245.0,407.0,1016.0,364.0,3.9464,101500.0
-118.41,34.19,45.0,1106.0,225.0,595.0,228.0,3.6625,190700.0
-117.87,33.84,16.0,1545.0,354.0,730.0,350.0,4.5112,139000.0
-117.96,33.79,29.0,1813.0,501.0,1170.0,482.0,2.0677,214500.0
-119.83,36.77,23.0,2168.0,503.0,1190.0,425.0,2.625,71600.0
