longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-119.71,34.4,36.0,1846.0,358.0,748.0,329.0,4.2283,326800.0
-117.07,32.67,35.0,3200.0,725.0,1723.0,610.0,1.8977,95600.0
-122.27,40.53,17.0,2255.0,416.0,1171.0,411.0,2.875,129800.0
-122.22,37.78,51.0,1637.0,463.0,1543.0,393.0,2.489,119100.0
-117.19,34.94,31.0,2034.0,444.0,1097.0,367.0,2.1522,60800.0
-122.44,37.74,23.0,6291.0,1269.0,2818.0,1198.0,4.2672,391900.0
-122.07,37.97,20.0,1705.0,353.0,856.0,341.0,3.7262,211800.0
-121.33,38.04,15.0,1933.0,280.0,965.0,260.0,4.6477,142700.0
-118.3,34.0,52.0,1743.0,421.0,1206.0,384.0,1.6875,116000.0
-117.2,33.71,24.0,4210.0,920.0,1283.0,829.0,2.0881,83300.0
-118.13,33.83,44.0,1710.0,333.0,786.0,344.0,4.2917,314700.0
-122.16,37.45,37.0,2926.0,874.0,1363.0,815.0,4.5987,356000.0
-117.92,33.76,26.0,784.0,177.0,662.0,169.0,2.8438,174300.0
-121.32,38.7,17.0,3214.0,551.0,1879.0,562.0,4.3643,124900.0
-118.35,33.94,38.0,1794.0,508.0,2188.0,454.0,2.6654,142200.0
-121.98,37.31,28.0,3840.0,629.0,1883.0,662.0,6.4095,335900.0
-118.49,34.04,50.0,2597.0,340.0,964.0,339.0,13.3036,500001.0
-118.38,34.18,32.0,3553.0,1060.0,3129.0,1010.0,2.5603,174200.0
-121.29,37.99,30.0,1271.0,528.0,2019.0,524.0,1.5152,81300.0
-115.9,33.34,19.0,1210.0,248.0,329.0,155.0,1.7857,62800.0
-122.45,38.01,36.0,4501.0,832.0,2196.0,800.0,4.3182,252700.0
-117.05,32.75,43.0,1718.0,344.0,826.0,336.0,2.7014,133700.0
-117.19,32.8,16.0,2593.0,794.0,1235.0,684.0,3.1304,166300.0
-118.26,34.13,37.0,196.0,74.0,194.0,68.0,1.2188,218800.0
-122.23,37.77,52.0,769.0,206.0,612.0,183.0,2.57,72000.0
-122.17,37.78,42.0,1524.0,260.0,651.0,267.0,3.6875,157300.0
-118.48,34.19,36.0,2058.0,423.0,1132.0,423.0,3.8833,210400.0
-117.68,33.6,24.0,1956.0,262.0,969.0,256.0,6.8154,265900.0
-121.42,38.63,42.0,2217.0,536.0,1203.0,507.0,1.9412,73100.0
-117.73,34.09,36.0,1543.0,297.0,1355.0,303.0,3.5313,117800.0
-122.31,37.54,38.0,1946.0,407.0,975.0,417.0,4.0726,385400.0
-118.97,35.37,52.0,425.0,119.0,380.0,97.0,1.4125,42500.0
-117.95,33.83,36.0,1380.0,237.0,690.0,234.0,3.8214,210900.0
-121.83,37.36,29.0,4045.0,885.0,3036.0,845.0,3.1982,171700.0
-122.41,37.79,52.0,5783.0,2747.0,4518.0,2538.0,1.724,225000.0
-116.97,33.74,20.0,3674.0,792.0,1498.0,758.0,2.2161,76900.0
-117.86,33.67,16.0,20.0,5.0,15.0,5.0,3.875,450000.0
-118.35,33.9,13.0,2887.0,853.0,2197.0,800.0,2.8777,207900.0
-117.32,34.02,17.0,1779.0,292.0,1006.0,293.0,4.6708,123100.0
-122.52,37.92,24.0,421.0,64.0,163.0,75.0,14.5833,500001.0
-121.52,38.53,31.0,3089.0,585.0,1366.0,561.0,4.2885,160300.0
-118.45,34.27,33.0,1194.0,229.0,839.0,230.0,3.705,185800.0
-122.44,37.77,52.0,3225.0,667.0,1494.0,619.0,4.4875,500001.0
-121.86,37.4,21.0,1386.0,260.0,946.0,257.0,6.5226,258500.0
-117.09,32.65,20.0,1445.0,323.0,573.0,334.0,2.6189999999999998,145800.0
-118.44,34.16,33.0,1616.0,322.0,580.0,311.0,4.0391,337500.0
-118.14,34.06,27.0,5257.0,1082.0,3496.0,1036.0,3.3906,237200.0
-118.52,34.23,35.0,1471.0,210.0,735.0,219.0,8.3841,472200.0
-122.44,37.74,52.0,2074.0,366.0,909.0,394.0,4.8382,294900.0
-118.16,33.86,26.0,6607.0,1663.0,4066.0,1558.0,2.5068,156300.0
